Vinícius Júnior,Vinícius Jr
Ander Guevara,Guevara
Carlos Benavídez,Carlos Benavidez
Jon Guridi,Jon Guridi
Abdallahi Mahmoud,Abdallahi Mahmoud
Xeber Alkain,Xeber Alkain
Mamadou Diallo,Morcillo
Abdelkabir Abqar,Abdel Abqar
Rafa Marín,Rafa Marín
Andoni Gorosabel,Gorosabel
Rubén Duarte,Rubén Duarte
Nikola Maraš,Nikola Maras
Aleksandar Sedlar,Aleksandar Sedlar
Javi López,Javi López
Joseda Álvarez,Gastón Álvarez
Antonio Sivera,Sivera
Jesús Owono,Jesús Owono
Eneko Ortiz,En-Nesyri
Egoitz Muñoz,Javi Muñoz
Iñaki Williams,Williams
Gorka Guruzeta,Guruzeta
Asier Villalibre,Villalibre
Malcom Ares,Malcom Ares
Javier Martón Ansó,Javier Martón
Nico Williams,Nico Williams
Ander Herrera,Ander Herrera
Iker Muniain,Muniain
Oihan Sancet,Sancet
Álex Berenguer,Berenguer
Raúl García,Raúl García
Mikel Vesga,Vesga
Dani García,Dani García
Iñigo Ruiz de Galarreta,Ruiz de Galarreta
Peru Nolaskoain Esnal,Nolaskoain
Jon Morcillo,Morcillo
Beñat Prados,Beñat Prados
Wibuala Junior Bita,Alejandro Balde
Yeray Álvarez,Yeray
Yuri Berchiche,Yuri
Óscar de Marcos,de Marcos
Daniel Vivian,Dani Vivian
Íñigo Lekue,Lekue
Aitor Paredes,Aitor Paredes
Imanol García de Albéniz,Imanol García
Unai Eguíluz,Gui
Unai Simón,Unai Simón
Julen Agirrezabala,Agirrezabala
Adu Ares,Darder
Ante Budimir,Budimir
Chimy Ávila,Chimy Ávila
Kike Barja,Kike Barja
Dani Sancho,Manu Sánchez
Moi Gómez,Moi Gómez
Rubén García,Rubén García
Aimar Oroz,Aimar Oroz
Lucas Torró,Torró
Jon Moncayola,Moncayola
José Manuel Arnáiz,Arnáiz
Darko Brašanac,Brasanac
Javi Martínez,Javi Martínez
Pablo Ibáñez Lumbreras,Pablo Ibáñez
Johan Mojica,Mojica
David García,David García
Alejandro Catena,Catena
Rubén Peña,Rubén Peña
Nacho Vidal,Nacho Vidal
Unai García,Unai García
Jesús Areso,Jesús Areso
Jorge Herrando,Jorge Herrando
Aitor Fernández,Aitor Fernández
Sergio Herrera,Sergio Herrera
Ander Ibañez,Pablo Ibáñez
Aguinaga,Gui
Asier Benito,Miguel Rubio
Gerard Moreno,Gerard Moreno
Ben Brereton Díaz,Ben Brereton
Alexander Sørloth,Sørloth
Ilias Akhomach,Ilias Akhomach
José Luis Morales,Morales
Andrés Ferrari,André Ferreira
Yéremy Pino,Yéremi Pino
Dani Parejo,Parejo
Denis Suárez,Denis Suárez
Alejandro Baena,Alejandro Balde
Étienne Capoue,Étienne Capoue
Francis Coquelin,Coquelin
Santi Comesaña,Santi Comesaña
Manu Trigueros,Trigueros
Ramón Terrats,Ramón Terrats
Dani Requena,Dani Cárdenas
Rodri Alonso,Djibril Sow
Aïssa Mandi,Mandi
Juan Foyth,Foyth
Raúl Albiol,Albiol
Matteo Gabbia,Matteo Gabbia
Alberto Moreno,Alberto Moreno
Jorge Cuenca,Jorge Cuenca
Alfonso Pedraza,Pedraza
Kiko Femenía,Kiko Femenía
Lanchi,Alguacil
Pepe Reina,Pepe Reina
Filip Jörgensen,Filip Jörgensen
Darwin Machís,Darwin Machís
Álvaro Negredo,Negredo
Roger Martí,Roger
Sergi Guardiola,Guardiola
Chris Ramos,Chris Ramos
Milutin Osmajić,Milutin Osmajic
Tomás Alarcón,Tomás Alarcón
Brian Ocampo,Brian Ocampo
Gonzalo Escalante,Escalante
Awer Mabil,Oyarzabal
Rubén Alcaraz,Rubén Alcaraz
Youba Diarra,Youba Diarra
Rubén Sobrino,Sobrino
Álex Fernández,Álex Fernández
Fede San Emeterio,San Emeterio
Iván Alejo,Iván Alejo
José Mari,José Mari
Álvaro Bastida,Álvaro Vallés
Martín Calderón,Martín Calderón
Víctor Chust,Chust
Javier Hernández,Javi Hernández
Lucas Pires,Lucas Pires
Fali,Fali
Iza Carcelén,Iza
Mamadou Mbaye,Momo Mbaye
Luis Hernández,Luis Hernández
Jorge Meré,Jorge Meré
Joseba Zaldúa,Zaldua
Juan Cala,Juan Carlos Martín
Julio,Julián Araujo
Jeremías Ledesma,Ledesma
David Gil,David Gil
André Silva,André Silva
Mikel Oyarzabal,Oyarzabal
Umar Sadiq,Umar Sadiq
Mohamed-Ali Cho,Mohamed-Ali Cho
Ander Barrenetxea,Barrenetxea
Carlos Fernández,Carlos Fernández
Jon Karrikaburu,Jon Karrikaburu
Martín Merquelanz,Merquelanz
Alex Lebarbier,Álex Baena
Ekain Azkune,Kevin Vázquez
Takefusa Kubo,Kubo
Arsen Zakharyan,Arsen Zakharyan
Martín Zubimendi,Zubimendi
Mikel Merino,Mikel Merino
Brais Méndez,Brais Méndez
Robert Navarro,Robert Navarro
Beñat Turrientes,Beñat Turrientes
Jon Ander Olasagasti,Jon Ander Olasagasti
Eneko Astigarraga,Cenk Özkacar
Hamari Traore,Hamari Traoré
Robin Le Normand,Le Normand
Igor Zubeldia,Zubeldia
Diego Rico,Diego Rico
Aritz Elustondo,Elustondo
Aihen Muñoz,Aihen Muñoz
Jon Pacheco,Jon Pacheco
Álex Sola,Alex Sola
Álex Remiro,Remiro
Unai Marrero,Unai Marrero
Hugo Martín,Diego Mariño
