Pedri,MID,31,7.622272,Spain,ok,11880000.0,160000.0,"[2, 10, None, None, None]",0,0,7.24,264
Rafael Leão,ATT,31,7.559831999999999,Portugal,ok,7320000.0,40000.0,"[-2, 9, None, None, None]",0,0,7.14,294
Raphinha,ATT,31,7.97082,Brazil,ok,7850000.0,140000.0,"[2, 2, None, None, None]",0,0.1,7.05,574
Ricardo Horta,ATT,31,7.782179999999999,Portugal,ok,2420000.0,-60000.0,"[None, None, None, None, None]",0,0,7.35,294
Richarlison,ATT,31,7.91508,Brazil,ok,8110000.0,310000.0,"[-2, 16, None, None, None]",0,0,7.10,574
Rodrygo,ATT,31,7.91508,Brazil,ok,6580000.0,80000.0,"[6, 2, None, None, None]",0,0,7.1,574
Rúben Dias,DEF,31,7.443364,Portugal,ok,6400000.0,20000.0,"[2, 2, None, None, None]",0,0,7.03,294
Virgil van Dijk,DEF,31,7.78921,Netherlands,ok,7430000.0,80000.0,"[6, 2, None, None, None]",0,0,7.15,447
Carrasco,ATT,31,6.954169999999999,Belgium,ok,5400000.0,-250000.0,"[None, -2, None, None, None]",0,0.1,6.85,3
Embolo,ATT,30,7.0142880000000005,Switzerland,ok,5040000.0,40000.0,"[2, 13, None, None, None]",0,0,6.96,39
Tadić,ATT,30,8.245182,Serbia,ok,4400000.0,-10000.0,"[6, -2, None, None, None]",0.7,0.05,7.56,-39
Dybala,ATT,30,7.664706000000001,Argentina,ok,3600000.0,-150000.0,"[None, None, None, None, None]",0,0,7.29,257
Gabriel Martinelli,ATT,30,7.736712000000001,Brazil,ok,3010000.0,-60000.0,"[None, 0, None, None, None]",0,0,6.94,574
Hirving Lozano,ATT,30,7.338760000000001,Mexico,ok,5080000.0,-80000.0,"[2, 6, None, None, None]",0.2,0,6.95,132
Iñaki Williams,ATT,30,6.684936,Ghana,ok,4790000.0,-40000.0,"[2, 2, None, None, None]",0.2,0,6.88,-279
Julián Álvarez,ATT,30,7.685734,Argentina,ok,4950000.0,-60000.0,"[2, 2, None, None, None]",0,0,7.31,257
Jonas Hofmann,ATT,30,7.557078,Germany,ok,2780000.0,-80000.0,"[0, -2, None, None, None]",0,0,7.31,169
Toko Ekambi,ATT,30,6.293772,Cameroon,ok,3750000.0,-100000.0,"[-2, 2, None, None, None]",0,0.1,7.01,-574
Kai Havertz,MID,30,7.112544000000001,Germany,ok,6800000.0,-270000.0,"[None, 2, None, None, None]",0,0,6.88,169
Leandro Trossard,ATT,30,7.044224,Belgium,ok,3480000.0,-70000.0,"[2, 2, None, None, None]",0,0,7.04,3
Rashford,ATT,30,7.001892000000001,England,ok,7060000.0,40000.0,"[-2, 9, None, None, None]",0,0,6.73,202
Marquinhos,DEF,30,7.848192,Brazil,ok,7270000.0,110000.0,"[2, 2, None, None, None]",0,0,7.04,574
Pablo Sarabia,ATT,30,7.590688,Spain,ok,4120000.0,-210000.0,"[None, None, None, None, None]",0,0.1,7.11,264
Tchouameni,MID,29,7.8139199999999995,France,ok,8320000.0,210000.0,"[6, 2, None, None, None]",0,0,7.3,352
Bukayo Saka,MID,29,7.397244000000001,England,ok,7670000.0,180000.0,"[2, 18, None, None, None]",0,0,7.11,202
Casemiro,MID,29,8.227224,Brazil,ok,8920000.0,220000.0,"[10, 6, None, None, None]",0,0.1,7.28,574
Declan Rice,MID,29,7.470072,England,ok,6550000.0,110000.0,"[2, 6, None, None, None]",0,0,7.18,202
Denzel Dumfries,MID,29,7.582223999999999,Netherlands,ok,5140000.0,-10000.0,"[2, 2, None, None, None]",0,0,6.96,447
Fabinho,MID,29,7.759008,Brazil,ok,4850000.0,-210000.0,"[None, None, None, None, None]",0,0,6.96,574
Fede Valverde,MID,29,7.675666,Uruguay,ok,10550000.0,110000.0,"[2, 6, None, None, None]",0,0.1,7.17,279
De Arrascaeta,MID,29,7.86571,Uruguay,ok,4120000.0,-130000.0,"[6, None, None, None, None]",0,0.1,7.35,279
Jamal Musiala,MID,29,7.246938,Germany,ok,7550000.0,200000.0,"[10, 6, None, None, None]",0,0,7.01,169
Lucas Paquetá,MID,29,7.903932,Brazil,ok,6490000.0,90000.0,"[2, 2, None, None, None]",0,0,7.09,574
Brozović,MID,29,7.195679999999999,Croatia,ok,5500000.0,-20000.0,"[2, 2, None, None, None]",0,0.1,7.1,-3
Pierre-Emile Højbjerg,MID,29,7.5001359999999995,Denmark,ok,4990000.0,50000.0,"[6, 2, None, None, None]",0,0,7.22,194
Zieliński,MID,29,6.754032,Poland,ok,5170000.0,80000.0,"[10, 2, None, None, None]",0,0.1,7.02,-257
Raúl Jiménez,ATT,29,7.605624,Mexico,ok,3370000.0,-80000.0,"[2, 2, None, None, None]",0.7,0,6.71,132
Tielemans,MID,29,7.014206,Belgium,ok,5880000.0,-160000.0,"[2, 2, None, None, None]",0,0,7.01,3
Ángel Correa,ATT,28,7.0969500000000005,Argentina,ok,3610000.0,-170000.0,"[None, None, None, None, None]",0,0,6.75,257
Gündoğan,MID,28,8.187696,Germany,ok,7110000.0,90000.0,"[2, 9, None, None, None]",0.7,0.1,7.12,169
Goretzka,MID,28,7.329642000000001,Germany,ok,6190000.0,0.0,"[2, -2, None, None, None]",0,0,7.09,169
Asensio,ATT,28,7.453824,Spain,ok,7000000.0,180000.0,"[2, 9, None, None, None]",0,0,7.08,264
Kovačić,MID,28,6.885865999999999,Croatia,ok,5840000.0,110000.0,"[6, 2, None, None, None]",0,0,6.89,-3
Pulisic,ATT,28,7.5515099999999995,US,ok,5600000.0,110000.0,"[6, 10, None, None, None]",0.7,0.1,6.75,1
