Nawaf Alaqidi,6.0
Mohammed Al Rubaie,6.0
Robert Lewandowski,7.44
Krzysztof Piątek,6.76
Arkadiusz Milik,6.98
Karol Świderski,7.09
Piotr Zieliński,7.02
Nicola Zalewski,6.73
Grzegorz Krychowiak,6.94
Sebastian Szymański,7.28
Kamil Grosicki,7.08
Krystian Bielik,6.9
Przemysław Frankowski,6.93
Szymon Żurkowski,6.85
Jakub Kamiński,6.72
Jakub Kiwior,6.84
Damian Szymański,7.0
Michał Skóraś,7.06
Matty Cash,6.82
Jan Bednarek,6.93
Kamil Glik,6.95
Bartosz Bereszyński,6.68
Robert Gumny,6.64
Mateusz Wieteska,6.96
Artur Jędrzejczyk,6.85
Wojciech Szczęsny,6.99
Łukasz Skorupski,7.03
Kamil Grabara,7.19
Hirving Lozano,6.95
Raúl Jiménez,6.71
Alexis Vega,7.26
Rogelio Funes Mori,6.91
Henry Martín,7.0
Edson Álvarez,7.07
Héctor Herrera,6.91
Andrés Guardado,6.8
Érick Gutiérrez,6.99
Orbelín Pineda,6.91
Uriel Antuna,7.0
Carlos Rodríguez,6.95
Roberto Alvarado,6.96
Jesús Gallardo,6.98
Luis Romo,6.87
Luis Chávez,7.23
Johan Vásquez,6.74
Jorge Sánchez,6.8
Gerardo Arteaga,6.74
Néstor Araujo,6.82
Héctor Moreno,6.85
César Montes,6.88
Kevin Álvarez,6.97
Guillermo Ochoa,6.9
Alfredo Talavera,6.97
Rodolfo Cota,7.08
Lionel Messi,8.15
Paulo Dybala,7.29
Ángel Di María,7.26
Lautaro Martínez,7.16
Julián Álvarez,7.31
Ángel Correa,6.75
Rodrigo de Paul,7.1
Leandro Paredes,7.01
Enzo Fernández,7.49
Papu Gómez,6.95
Alexis Mac Allister,7.13
Nahuel Molina,6.84
Thiago Almada,7.41
Exequiel Palacios,6.87
Guido Rodríguez,7.17
Lisandro Martínez,7.21
Cristian Romero,7.06
Nicolás Otamendi,7.15
Nicolás Tagliafico,6.98
Juan Foyth,6.83
Marcos Acuña,6.97
Gonzalo Montiel,6.64
Germán Pezzella,6.95
Emiliano Martínez,6.86
Gerónimo Rulli,7.03
Franco Armani,7.05
Kylian Mbappé,7.83
Ousmane Dembélé,7.42
Antoine Griezmann,7.25
Olivier Giroud,7.2
Marcus Thuram,7.09
Randal Kolo Muani,6.95
Eduardo Camavinga,6.87
Aurélien Tchouaméni,7.3
Kingsley Coman,7.13
Adrien Rabiot,7.15
Mattéo Guendouzi,6.98
Jordan Veretout,6.98
Youssouf Fofana,6.84
Raphaël Varane,6.97
Jules Koundé,7.06
Theo Hernández,7.29
Dayot Upamecano,7.04
Ibrahima Konaté,6.93
William Saliba,7.01
Benjamin Pavard,7.23
Lucas Hernández,6.98
Axel Disasi,7.08
Hugo Lloris,6.95
Alphonse Aréola,6.82
Steve Mandanda,6.94
Wahbi Khazri,6.88
Youssef Msakni,6.0
Seifeddine Jaziri,6.68
Taha Yassine Khenissi,6.0
Hannibal Mejbri,6.62
Ellyes Skhiri,6.99
Aissa Laïdouni,7.0
Anis Ben Slimane,6.78
Naïm Sliti,7.0
Ferjani Sassi,6.0
Issam Jebali,7.03
Mohamed Ali Ben Romdhane,7.2
Ali Abdi,7.06
Ghayléne Chaaleli,7.22
Nader Ghandri,6.0
Ali Maâloul,7.31
Montassar Talbi,6.84
Mohamed Dräger,6.81
Dylan Bronn,6.74
Wajdi Kechrida,6.73
Yassine Meriah,6.0
Bilel Ifa,6.78
Mouez Hassen,6.0
Aymen Dahmen,6.0
Bechir Ben Said,6.0
Aymen Mathlouthi,6.0
Bachir Ben Said,6.0
Martin Braithwaite,6.58
Kasper Dolberg,6.73
Andreas Skov Olsen,7.19
Jesper Lindstrøm,6.87
Yussuf Poulsen,6.65
Jonas Wind,7.2
Andreas Cornelius,7.03
Christian Eriksen,7.22
Pierre-Emile Højbjerg,7.22
Mikkel Damsgaard,6.78
Joakim Mæhle,6.74
Thomas Delaney,6.86
Daniel Wass,7.15
Robert Skov,6.96
Mathias Jensen,6.83
Christian Nørgaard,7.08
Andreas Christensen,6.99
Simon Kjær,6.91
Joachim Andersen,6.99
Victor Nelsson,6.87
Alexander Bah,7.0
Rasmus Kristensen,6.97
Jens Stryger Larsen,6.78
Kasper Schmeichel,6.92
Frederik Rønnow,6.94
Oliver Christensen,6.81
Jamie MacLaren,7.05
Marco Tilio,7.12
Mitchell Duke,6.0
Jason Cummings,7.06
Garang Kuol,6.95
Craig Goodwin,7.79
Aaron Mooy,7.0
Awer Mabil,6.72
Ajdin Hrustić,6.74
Mathew Leckie,6.97
Riley McGree,6.85
Jackson Irvine,7.0
Keanu Baccus,6.91
Miloš Degenek,6.81
Harry Souttar,6.0
Aziz Behich,6.61
Nathaniel Atkinson,6.64
Fran Karačić,6.87
Joel King,6.79
Bailey Wright,6.92
Thomas Deng,6.0
Kye Rowles,7.02
Mathew Ryan,6.92
Andrew Redmayne,6.78
Danny Vukovic,6.0
Ansu Fati,6.77
Ferran Torres,6.88
Marco Asensio,7.08
Álvaro Morata,7.01
Dani Olmo,6.98
Pablo Sarabia,7.11
Pedri,7.24
Gavi,6.89
Sergio Busquets,7.21
Rodri,7.35
Marcos Llorente,6.89
Koke,6.83
Carlos Soler,7.14
Nico Williams,6.84
Yéremy Pino,6.81
Hugo Guillamón,6.81
Jordi Alba,7.24
Daniel Carvajal,7.03
Eric García,6.97
Alejandro Balde,6.89
César Azpilicueta,6.94
Aymeric Laporte,7.11
Pau Torres,7.0
Unai Simón,6.86
Robert Sánchez,6.82
David Raya,6.97
Takumi Minamino,7.0
Daichi Kamada,7.01
Junya Ito,7.4
Daizen Maeda,6.83
Takuma Asano,6.73
Ayase Ueda,6.98
Shuto Machino,7.11
Takefusa Kubo,6.91
Kaoru Mitoma,7.06
Ritsu Doan,6.96
Wataru Endo,7.0
Hidemasa Morita,6.82
Ao Tanaka,7.04
Gaku Shibasaki,6.87
Yuki Soma,7.01
Takehiro Tomiyasu,6.83
Ko Itakura,7.09
Maya Yoshida,6.88
Hiroki Ito,6.86
Yuto Nagatomo,6.64
Hiroki Sakai,6.95
Miki Yamane,7.01
Shogo Taniguchi,7.09
Eiji Kawashima,6.0
Daniel Schmidt,7.03
Shuichi Gonda,7.0
Kai Havertz,6.88
Youssoufa Moukoko,6.82
Karim Adeyemi,6.83
Niclas Füllkrug,7.52
Leroy Sané,7.13
Thomas Müller,7.17
Joshua Kimmich,7.77
Serge Gnabry,7.26
Jamal Musiala,7.01
İlkay Gündoğan,7.12
Leon Goretzka,7.09
Julian Brandt,7.1
Mario Götze,7.0
Jonas Hofmann,7.31
David Raum,7.14
Antonio Rüdiger,7.05
Niklas Süle,7.0
Nico Schlotterbeck,7.28
Thilo Kehrer,6.72
Matthias Ginter,7.12
Armel Bella-Kotchap,6.96
Lukas Klostermann,6.83
Christian Günter,6.97
Marc-André ter Stegen,6.88
Manuel Neuer,7.01
Kevin Trapp,6.85
Joel Campbell,6.96
Jewison Bennette,6.75
Anthony Contreras,6.0
