Vinícius Jr,Vinícius Júnior
Ianis Hagi,Antonio Sivera
Gorosabel,Andoni Gorosabel
Giuliano Simeone,Giuliano Simeone
Rioja,Luis Rioja
Abdel Abqar,Abdelkabir Abqar
Rubén Duarte,Rubén Duarte
Miguel De La Fuente,Miguel de la Fuente
Nahuel Tenaglia,Nahuel Tenaglia
Sylla,Mamadou Sylla
Xeber Alkain,Xeber Alkain
Aleksandar Sedlar,Aleksandar Sedlar
Abde Rebbach,Abderrahman Rebbach
Guevara,Ander Guevara
Antonio Blanco,Antonio Blanco
Carlos Benavidez,Carlos Benavídez
Jon Guridi,Jon Guridi
Javi López,Javi López
Kike García,Kike García
Nikola Maras,Nikola Maraš
Rafa Marín,Rafa Marín
Sivera,Antonio Sivera
Samu Omorodion,Mamadou Diallo
Abdallahi Mahmoud,Abdallahi Mahmoud
Jesús Owono,Jesús Owono
Nico Williams,Nico Williams
Williams,Iñaki Williams
Sancet,Oihan Sancet
Berenguer,Álex Berenguer
Muniain,Iker Muniain
Yeray,Yeray Álvarez
Unai Simón,Unai Simón
Dani Vivian,Daniel Vivian
Vesga,Mikel Vesga
Yuri,Yuri Berchiche
de Marcos,Óscar de Marcos
Ruiz de Galarreta,Iñigo Ruiz de Galarreta
Guruzeta,Gorka Guruzeta
Ander Herrera,Ander Herrera
Dani García,Dani García
Imanol García,Imanol García de Albéniz
Nolaskoain,Peru Nolaskoain Esnal
Raúl García,Raúl García
Villalibre,Asier Villalibre
Javier Martón,Javier Martón Ansó
Agirrezabala,Julen Agirrezabala
Lekue,Íñigo Lekue
Malcom Ares,Malcom Ares
Aitor Paredes,Aitor Paredes
Beñat Prados,Beñat Prados
Gerard Moreno,Gerard Moreno
Parejo,Dani Parejo
Yéremi Pino,Yéremy Pino
Sørloth,Alexander Sørloth
Álex Baena,Álex Baena
Foyth,Juan Foyth
Ben Brereton,Ben Brereton Díaz
Santi Comesaña,Santi Comesaña
Étienne Capoue,Étienne Capoue
Pedraza,Alfonso Pedraza
Denis Suárez,Denis Suárez
Morales,José Luis Morales
Albiol,Raúl Albiol
Mandi,Aïssa Mandi
Coquelin,Francis Coquelin
Pepe Reina,Pepe Reina
Ramón Terrats,Ramón Terrats
Trigueros,Manu Trigueros
Ilias Akhomach,Ilias Akhomach
Alberto Moreno,Alberto Moreno
Jorge Cuenca,Jorge Cuenca
Kiko Femenía,Kiko Femenía
Matteo Gabbia,Matteo Gabbia
Filip Jörgensen,Filip Jörgensen
Ledesma,Jeremías Ledesma
Escalante,Gonzalo Escalante
Darwin Machís,Darwin Machís
Luis Hernández,Luis Hernández
Álex Fernández,Álex Fernández
Maxi Gómez,Maximiliano Gómez
Iza,Iza Carcelén
Jorge Meré,Jorge Meré
Rubén Alcaraz,Rubén Alcaraz
Sobrino,Rubén Sobrino
Fali,Fali
Lucas Pires,Lucas Pires
Milutin Osmajic,Milutin Osmajić
Brian Ocampo,Brian Ocampo
Chris Ramos,Chris Ramos
Chust,Víctor Chust
San Emeterio,Fede San Emeterio
Javi Hernández,Javier Hernández
Momo Mbaye,Mamadou Mbaye
Negredo,Álvaro Negredo
Roger,Roger Martí
Guardiola,Sergi Guardiola
Zaldua,Joseba Zaldúa
David Gil,David Gil
Iván Alejo,Iván Alejo
José Mari,José Mari
Martín Calderón,Martín Calderón
Youba Diarra,Youba Diarra
André Silva,André Silva
