Yuri Berchiche,6.93
Óscar de Marcos,6.74
Daniel Vivian,6.85
Íñigo Lekue,6.72
Aitor Paredes,6.79
Imanol García de Albéniz,7.0
Unai Eguíluz,6.0
Unai Simón,6.91
Julen Agirrezabala,6.88
Adu Ares,6.0
Ante Budimir,6.84
Chimy Ávila,6.85
Kike Barja,6.81
Dani Sancho,6.0
Moi Gómez,7.06
Rubén García,6.9
Aimar Oroz,6.63
Lucas Torró,6.8
Jon Moncayola,6.79
José Manuel Arnáiz,6.69
Darko Brašanac,6.71
Javi Martínez,6.64
Pablo Ibáñez Lumbreras,6.63
Johan Mojica,6.72
David García,6.97
Alejandro Catena,6.91
Rubén Peña,6.77
Nacho Vidal,6.66
Unai García,6.68
Jesús Areso,6.71
Jorge Herrando,6.0
Aitor Fernández,7.03
Sergio Herrera,6.95
Ander Ibañez,6.0
Aguinaga,6.0
Asier Benito,6.0
Gerard Moreno,7.09
Ben Brereton Díaz,6.84
Alexander Sørloth,6.8
Ilias Akhomach,6.0
José Luis Morales,6.81
Andrés Ferrari,6.0
Yéremy Pino,6.83
Dani Parejo,7.17
Denis Suárez,6.59
Álex Baena,7.11
Étienne Capoue,6.91
Francis Coquelin,6.87
Santi Comesaña,6.79
Manu Trigueros,6.61
Ramón Terrats,6.81
Dani Requena,6.0
Rodri Alonso,6.0
Aïssa Mandi,6.92
Juan Foyth,7.06
Raúl Albiol,6.9
Matteo Gabbia,6.8
Alberto Moreno,6.68
Jorge Cuenca,6.92
Alfonso Pedraza,6.76
Kiko Femenía,6.79
Lanchi,6.0
Pepe Reina,6.86
Filip Jörgensen,6.78
Darwin Machís,6.72
Álvaro Negredo,6.82
Roger Martí,6.66
Sergi Guardiola,6.7
Chris Ramos,6.94
Milutin Osmajić,6.72
Tomás Alarcón,6.32
Brian Ocampo,6.62
Gonzalo Escalante,6.91
Awer Mabil,6.78
Rubén Alcaraz,6.74
Youba Diarra,6.66
Rubén Sobrino,6.62
Álex Fernández,6.71
Fede San Emeterio,6.66
Iván Alejo,6.56
José Mari,6.65
Álvaro Bastida,6.0
Martín Calderón,6.0
Víctor Chust,6.65
Javier Hernández,6.77
Lucas Pires,6.55
Fali,6.75
Iza Carcelén,6.92
Mamadou Mbaye,6.61
Luis Hernández,6.87
Jorge Meré,6.72
Joseba Zaldúa,6.0
Juan Cala,6.0
Julio,6.0
Jeremías Ledesma,7.25
David Gil,6.0
André Silva,6.73
Mikel Oyarzabal,6.61
Umar Sadiq,6.0
Mohamed-Ali Cho,6.74
Ander Barrenetxea,6.78
Carlos Fernández,6.62
Jon Karrikaburu,6.66
Martín Merquelanz,6.0
Alex Lebarbier,6.0
Ekain Azkune,6.0
Takefusa Kubo,7.01
Arsen Zakharyan,7.21
Martín Zubimendi,6.92
Mikel Merino,7.05
Brais Méndez,7.15
Robert Navarro,6.86
Beñat Turrientes,6.63
Jon Ander Olasagasti,6.0
Eneko Astigarraga,6.0
Hamari Traore,6.99
Robin Le Normand,6.95
Igor Zubeldia,6.89
Diego Rico,6.87
Aritz Elustondo,6.65
Aihen Muñoz,6.75
Jon Pacheco,6.86
Álex Sola,6.61
Álex Remiro,6.98
Unai Marrero,6.0
Hugo Martín,6.0
Vedat Muriqi,7.13
Cyle Larin,6.79
Amath Ndiaye,6.49
Abdón Prats,6.69
Javi Llabrés,6.55
Sergi Darder,7.14
Omar Mascarell,6.92
Manu Morlanes,6.8
Dani Rodríguez,6.83
Samuel Costa,6.79
Clément Grenier,6.78
Antonio Sánchez,6.46
Ruben Quintanilla,6.0
Pablo Maffeo,6.76
Martin Valjent,6.86
Giovanni González,6.73
Toni Lato,6.77
Antonio Raíllo,7.05
José Copete,6.91
Jaume Costa,6.69
Siebe Van Der Heyden,6.86
Josep Gayá,6.0
Marcos Fernández,6.0
Predrag Rajković,6.87
Dominik Greif,6.0
Miquel Llabres,6.0
Miguel Martin Garcia,6.0
Munir El Haddadi,6.85
Sory Kaba,6.74
Marvin Park,6.69
Sandro Ramírez,7.07
Marc Cardona,6.65
Alberto Moleiro,6.77
Jonathan Viera,7.28
Enzo Loiodice,7.04
Omenuke Mfulu,6.7
Kirian Rodríguez,6.0
Javier Muñoz,6.57
Pejiño,6.89
Cristian Herrera,6.76
Benito Ramírez,6.7
Fabio González,6.81
Julian Araujo,6.79
Mika Mármol,7.12
Daley Sinkgraven,6.68
Saúl Coco,6.93
Alex Suárez,6.96
Sergi Cardona,6.94
Álvaro Lemos,6.83
Eric Curbelo,7.08
Alejandro Palanca,6.0
Aarón Escandell,7.07
Álvaro Valles,6.97
Herzog,6.0
Iago Aspas,7.13
Carles Pérez,6.76
Jørgen Strand Larsen,6.7
Gonçalo Paciência,6.67
Williot Swedberg,6.0
Miguel Rodríguez,6.59
Gabri Veiga,6.93
Renato Tapia,6.69
Jonathan Bamba,6.81
Franco Cervi,6.89
Fran Beltrán,6.79
Carlos Dotor,6.0
Luca De La Torre,6.66
Miguel Baeza,6.64
Óscar Mingueza,6.88
Joseph Aidoo,6.89
Unai Núñez,6.96
Manuel Sánchez,6.76
Carl Starfelt,7.13
Kevin Vázquez,6.58
Jose Fontán,6.84
Carlos Domínguez,6.0
Sergio Carreira,6.67
Agustín Marchesín,6.76
Iván Villar,6.66
Enes Ünal,7.1
Borja Mayoral,6.7
Anthony Lozano,6.6
Juanmi Latasa,6.79
Jaime Mata,6.58
Carles Aleñá,6.6
Nemanja Maksimović,6.79
Mauro Arambarri,6.84
Portu,6.64
Luis Milla,7.01
Santi García,6.0
Santiago Garcia Gonzalez,6.0
Djené,6.68
Domingos Duarte,6.75
Omar Alderete,6.77
Stefan Mitrović,6.73
Damián Suárez,6.75
José Ángel Carmona,6.69
Gastón Álvarez,6.67
Fabrizio Angileri,6.42
Juan Iglesias,6.75
David Soria,6.98
Daniel Fuzato,6.95
Jorge Benito,6.0
John Patrick,6.0
Youssef En-Nesyri,6.92
Rafa Mir,6.69
Ivan Rakitić,7.0
Papu Gómez,6.78
Lucas Ocampos,6.76
Erik Lamela,6.7
Jesús Corona,6.0
Oussama Idrissi,7.11
Adnan Januzaj,6.81
Suso,6.9
Thomas Delaney,6.6
Fernando,6.79
Óscar Rodríguez,6.86
Óliver Torres,6.74
Djibril Sow,6.82
Joan Jordán,6.83
Juanlu Sánchez,6.83
Marcos Acuña,6.95
Gonzalo Montiel,6.64
Tanguy Nianzou,6.77
Jesús Navas,6.82
Nemanja Gudelj,6.91
Marcão,6.84
Loïc Badé,7.03
Federico Gattoni,7.09
Adrià Pedrosa,6.57
Kike Salas,6.76
Bono,6.79
Marko Dmitrović,7.07
Alfonso Pastor,6.0
Famara Diédhiou,6.56
Myrto Uzuni,6.97
José Callejón,7.02
Shon Weissman,6.61
Alberto Perea,6.75
Antoñín,6.0
Gonzalo Villar,6.6
Gerard Gumbau,7.14
Njegoš Petrović,6.73
Antonio Puertas,6.65
Alberto Soro,6.58
Óscar Melendo,6.83
Sergio Ruiz Alonso,6.61
Bryan Zaragoza,6.74
Yann Bodiger,6.75
Jesús Vallejo,6.0
Alpha Dionkou,6.0
Wilson Manafá,6.0
Ricard Sánchez,6.87
Carlos Neva,6.87
Miguel Rubio,7.05
Ignasi Miquel,6.92
Víctor Díaz,6.88
Raúl Torrente,6.0
Miki Bosch,6.0
André Ferreira,6.84
Raúl Fernández,6.96
Lázaro,6.83
Luis Javier Suárez,6.77
Largie Ramazani,6.6
Ibrahima Kone,6.78
Léo Baptistão,6.76
Adrián Embarba,6.94
Marko Milovanović,6.0
Arvin Appiah,6.61
Marciano Sanca Tchami,6.0
Iddrisu Baba,6.66
Dion Lopy,6.74
Lucas Robertone,7.14
Gonzalo Melero,6.71
Arnau Puigmal,6.63
Gui,6.32
